person__lastname,person__firstname,person__nickname,state,party,person__gender,person__birthday,role_type,senator_rank
Duncan,Jeff,,SC,Republican,male,1966-01-07,representative,
Scott,Tim,,SC,Republican,male,1965-09-19,senator,junior
Cicilline,David,,RI,Democrat,male,1961-07-15,representative,
Barletta,Lou,,PA,Republican,male,1956-01-28,representative,
Marino,Tom,,PA,Republican,male,1952-08-15,representative,
Meehan,Patrick,,PA,Republican,male,1955-10-20,representative,
Kelly,Mike,,PA,Republican,male,1948-05-10,representative,
Lankford,James,,OK,Republican,male,1968-03-04,representative,
Gibbs,Bob,,OH,Republican,male,1954-06-14,representative,
Renacci,James,,OH,Republican,male,1958-12-03,representative,
Stivers,Steve,,OH,Republican,male,1965-03-24,representative,
Johnson,Bill,,OH,Republican,male,1954-11-10,representative,
Ellmers,Renee,,NC,Republican,female,1964-02-09,representative,
Hanna,Richard,,NY,Republican,male,1951-01-25,representative,
Gibson,Christopher,,NY,Republican,male,1964-05-13,representative,
Grimm,Michael,,NY,Republican,male,1970-02-07,representative,
Runyan,Jon,,NJ,Republican,male,1973-11-27,representative,
Heck,Joseph,,NV,Republican,male,1961-10-30,representative,
Long,Billy,,MO,Republican,male,1955-08-11,representative,
Hartzler,Vicky,,MO,Republican,female,1960-10-13,representative,
Palazzo,Steven,,MS,Republican,male,1970-02-21,representative,
Nunnelee,Alan,,MS,Republican,male,1958-10-09,representative,
Amash,Justin,,MI,Republican,male,1980-04-18,representative,
Huizenga,Bill,,MI,Republican,male,1969-01-31,representative,
Benishek,Dan,,MI,Republican,male,1952-04-20,representative,
Keating,William,,MA,Democrat,male,1952-09-06,representative,
Harris,Andy,,MD,Republican,male,1957-01-25,representative,
Richmond,Cedric,,LA,Democrat,male,1973-09-13,representative,
Pompeo,Mike,,KS,Republican,male,1963-12-30,representative,
Yoder,Kevin,,KS,Republican,male,1976-01-08,representative,
Huelskamp,Tim,,KS,Republican,male,1968-11-11,representative,
Young,Todd,,IN,Republican,male,1972-08-24,representative,
Bucshon,Larry,,IN,Republican,male,1962-05-31,representative,
Rokita,Todd,,IN,Republican,male,1970-02-09,representative,
Hultgren,Randy,,IL,Republican,male,1966-03-01,representative,
Kinzinger,Adam,,IL,Republican,male,1978-02-27,representative,
Labrador,Raúl,,ID,Republican,male,1967-12-08,representative,
Hanabusa,Colleen,,HI,Democrat,female,1951-05-04,representative,
Scott,Austin,,GA,Republican,male,1969-12-10,representative,
Woodall,Rob,,GA,Republican,male,1970-02-11,representative,
Wilson,Frederica,,FL,Democrat,female,1942-11-05,representative,
Ross,Dennis,,FL,Republican,male,1959-10-18,representative,
Webster,Daniel,,FL,Republican,male,1949-04-27,representative,
Nugent,Richard,,FL,Republican,male,1951-05-26,representative,
Southerland,Steve,,FL,Republican,male,1965-10-10,representative,
Carney,John,,DE,Democrat,male,1956-05-20,representative,
Gardner,Cory,,CO,Republican,male,1974-08-22,representative,
Tipton,Scott,,CO,Republican,male,1956-11-09,representative,
Bass,Karen,,CA,Democrat,female,1953-10-03,representative,
Denham,Jeff,,CA,Republican,male,1967-07-29,representative,
Womack,Steve,,AR,Republican,male,1957-02-18,representative,
Griffin,Tim,,AR,Republican,male,1968-08-21,representative,
Crawford,Eric,Rick,AR,Republican,male,1966-01-22,representative,
Schweikert,David,,AZ,Republican,male,1962-03-03,representative,
Gosar,Paul,,AZ,Republican,male,1958-11-22,representative,
Sewell,Terri,,AL,Democrat,female,1965-01-01,representative,
Brooks,Mo,,AL,Republican,male,1954-04-29,representative,
Roby,Martha,,AL,Republican,female,1976-07-27,representative,
Reed,Tom,,NY,Republican,male,1971-11-18,representative,
Stutzman,Marlin,,IN,Republican,male,1976-08-31,representative,
Manchin,Joe,,WV,Democrat,male,1947-08-24,senator,junior
Graves,Tom,,GA,Republican,male,1970-02-03,representative,
Deutch,Theodore,,FL,Democrat,male,1966-05-07,representative,
Owens,William,,NY,Democrat,male,1949-01-20,representative,
Garamendi,John,,CA,Democrat,male,1945-01-24,representative,
Chu,Judy,,CA,Democrat,female,1953-07-07,representative,
Quigley,Mike,,IL,Democrat,male,1958-10-17,representative,
Fudge,Marcia,,OH,Democrat,female,1952-10-29,representative,
Tonko,Paul,,NY,Democrat,male,1949-06-18,representative,
Titus,Dina,,NV,Democrat,female,1950-05-23,representative,
Thompson,Glenn,,PA,Republican,male,1959-07-27,representative,
Schrader,Kurt,,OR,Democrat,male,1951-10-19,representative,
Schock,Aaron,,IL,Republican,male,1981-05-28,representative,
Sablan,Gregorio,,MP,Democrat,male,1955-01-19,representative,
Rooney,Thomas,,FL,Republican,male,1970-11-21,representative,
Roe,David,Phil,TN,Republican,male,1945-07-21,representative,
Posey,Bill,,FL,Republican,male,1947-12-18,representative,
Polis,Jared,,CO,Democrat,male,1975-05-12,representative,
Pingree,Chellie,,ME,Democrat,female,1955-04-02,representative,
Pierluisi,Pedro,,PR,Democrat,male,1959-04-26,representative,
Peters,Gary,,MI,Democrat,male,1958-12-01,representative,
Paulsen,Erik,,MN,Republican,male,1965-05-14,representative,
Olson,Pete,,TX,Republican,male,1962-12-09,representative,
Maffei,Daniel,,NY,Democrat,male,1968-07-04,representative,
McClintock,Tom,,CA,Republican,male,1956-07-10,representative,
Lummis,Cynthia,,WY,Republican,female,1954-09-10,representative,
Luján,Ben,,NM,Democrat,male,1972-06-07,representative,
Luetkemeyer,Blaine,,MO,Republican,male,1952-05-07,representative,
Lance,Leonard,,NJ,Republican,male,1952-06-25,representative,
Kirkpatrick,Ann,,AZ,Democrat,female,1950-03-24,representative,
Jenkins,Lynn,,KS,Republican,female,1963-06-10,representative,
Hunter,Duncan,,CA,Republican,male,1976-12-07,representative,
Himes,James,,CT,Democrat,male,1966-07-05,representative,
Heinrich,Martin,,NM,Democrat,male,1971-10-17,senator,junior
Harper,Gregg,,MS,Republican,male,1956-06-01,representative,
Guthrie,Brett,,KY,Republican,male,1964-02-18,representative,
Grayson,Alan,,FL,Democrat,male,1958-03-13,representative,
Fleming,John,,LA,Republican,male,1951-07-05,representative,
Connolly,Gerald,,VA,Democrat,male,1950-03-30,representative,
Coffman,Mike,,CO,Republican,male,1955-03-19,representative,
Chaffetz,Jason,,UT,Republican,male,1967-03-26,representative,
Cassidy,Bill,,LA,Republican,male,1957-09-28,representative,
Edwards,Donna,,MD,Democrat,female,1958-06-28,representative,
Scalise,Steve,,LA,Republican,male,1965-10-06,representative,
Speier,Jackie,,CA,Democrat,female,1950-05-14,representative,
Carson,André,,IN,Democrat,male,1974-10-16,representative,
Foster,Bill,,IL,Democrat,male,1955-10-07,representative,
Latta,Robert,,OH,Republican,male,1956-04-18,representative,
Wittman,Robert,,VA,Republican,male,1959-02-03,representative,
Tsongas,Niki,,MA,Democrat,female,1946-04-26,representative,
Broun,Paul,,GA,Republican,male,1946-05-14,representative,
Barrasso,John,,WY,Republican,male,1952-07-21,senator,junior
